,maid,datetimestamp,latitude,longitude,homegeohash9,workgeohash,Home_Distance,Work_Distance
8269,14d82715-30be-4820-8cc8-1c4ff06d4cd8,12/28/2023 0:49,-37.8523,145.03494,r1r0ubpbp,r1r0g9d,1.077458591,4.858239083
8270,14d82715-30be-4820-8cc8-1c4ff06d4cd8,12/7/2023 0:39,-37.8634,144.88828,r1r0ubpbp,r1r0g9d,1.077458591,4.858239083
8271,14d82715-30be-4820-8cc8-1c4ff06d4cd8,12/8/2023 16:29,-37.86349,144.88826,r1r0ubpbp,r1r0g9d,1.077458591,4.858239083
8272,14d82715-30be-4820-8cc8-1c4ff06d4cd8,12/5/2023 15:30,-37.84186,144.88466,r1r0ubpbp,r1r0g9d,1.077458591,4.858239083
8305,14eab740-b1a9-4a90-845d-352019936deb,12/2/2023 19:10,-37.9604,145.04516,r1r0tt7t7,r1r0tse,3.894104364,4.543234963
8306,14eab740-b1a9-4a90-845d-352019936deb,12/17/2023 5:13,-42.82582,147.27568,r1r0tt7t7,r1r0tse,3.894104364,4.543234963
8307,14eab740-b1a9-4a90-845d-352019936deb,12/24/2023 18:29,-38.04721,145.11713,r1r0tt7t7,r1r0tse,3.894104364,4.543234963
8308,14eab740-b1a9-4a90-845d-352019936deb,12/24/2023 4:04,-42.82587,147.27579,r1r0tt7t7,r1r0tse,3.894104364,4.543234963
8329,1509396a-e5b2-4b3e-889f-f84e7ef50c00,12/9/2023 14:59,-37.71843508,145.0402685,r1r1h2m2m,r1r1kmx,4.50986586,12.27008887
8330,1509396a-e5b2-4b3e-889f-f84e7ef50c00,12/30/2023 2:20,-37.71848472,145.0402275,r1r1h2m2m,r1r1kmx,4.50986586,12.27008887
8331,1509396a-e5b2-4b3e-889f-f84e7ef50c00,12/22/2023 1:57,-37.71834688,145.0402852,r1r1h2m2m,r1r1kmx,4.50986586,12.27008887
8332,1509396a-e5b2-4b3e-889f-f84e7ef50c00,12/7/2023 21:38,-37.71842522,145.0402463,r1r1h2m2m,r1r1kmx,4.50986586,12.27008887
8393,153ec61a-ff49-4f20-b517-e00fbd220485,12/15/2023 17:30,-37.77822,144.98125,r1r0sh1h1,r1r0sh1,4.374387939,4.580543305
