,maid,datetimestamp,latitude,longitude,homegeohash9,workgeohash,Home_Distance,Work_Distance
5697,0eb3451a-aea1-4c21-a62d-74736aed78ef,12/10/2023 11:24,-37.76724,145.04422,r1r0fs0s0,r1r2fuu,9.038150525,23.35203842
5698,0eb3451a-aea1-4c21-a62d-74736aed78ef,12/14/2023 18:54,-37.8089,144.99316,r1r0fs0s0,r1r2fuu,9.038150525,23.35203842
5699,0eb3451a-aea1-4c21-a62d-74736aed78ef,12/23/2023 2:13,-37.7793,145.00148,r1r0fs0s0,r1r2fuu,9.038150525,23.35203842
5700,0eb3451a-aea1-4c21-a62d-74736aed78ef,12/16/2023 23:09,-37.81941,145.31471,r1r0fs0s0,r1r2fuu,9.038150525,23.35203842
5701,0eb8cf0b-38f8-490a-8a3a-9e0008487d12,12/1/2023 10:30,-37.75168,145.07227,r1r1jpwpw,r1r1jpw,8.925819151,8.953654476
5702,0eb8cf0b-38f8-490a-8a3a-9e0008487d12,12/25/2023 15:48,-37.79757423,144.9845474,r1r1jpwpw,r1r1jpw,8.925819151,8.953654476
5703,0eb8cf0b-38f8-490a-8a3a-9e0008487d12,12/5/2023 22:46,-37.7929,144.97494,r1r1jpwpw,r1r1jpw,8.925819151,8.953654476
5704,0eb8cf0b-38f8-490a-8a3a-9e0008487d12,12/9/2023 13:46,-37.75156,145.07231,r1r1jpwpw,r1r1jpw,8.925819151,8.953654476
5729,0ec9310c-183a-42d9-8edb-c293a4d92667,12/20/2023 21:49,-34.75153,149.72097,r1r0g7y7y,r1r20zp,5.490619335,19.67651991
5730,0ec9310c-183a-42d9-8edb-c293a4d92667,12/23/2023 4:11,-34.75158,149.7208,r1r0g7y7y,r1r20zp,5.490619335,19.67651991
5731,0ec9310c-183a-42d9-8edb-c293a4d92667,12/20/2023 17:50,-37.92893,145.24993,r1r0g7y7y,r1r20zp,5.490619335,19.67651991
5732,0ec9310c-183a-42d9-8edb-c293a4d92667,12/1/2023 21:25,-34.75154,149.7208,r1r0g7y7y,r1r20zp,5.490619335,19.67651991
5881,0f28d1e3-b2db-4637-95f9-820583a7cd05,12/1/2023 13:45,-37.8355,145.03769,r1r0u2m2m,r1ppnyw,1.652587079,32.25611683
5882,0f28d1e3-b2db-4637-95f9-820583a7cd05,12/12/2023 21:54,-37.83542,145.03772,r1r0u2m2m,r1ppnyw,1.652587079,32.25611683
5883,0f28d1e3-b2db-4637-95f9-820583a7cd05,12/23/2023 17:22,-37.83901,144.9973,r1r0u2m2m,r1ppnyw,1.652587079,32.25611683
5884,0f28d1e3-b2db-4637-95f9-820583a7cd05,12/21/2023 1:51,-37.83545,145.0377,r1r0u2m2m,r1ppnyw,1.652587079,32.25611683
5953,0f52eba8-338a-413d-baaf-1c5083f53d13,12/31/2023 21:23,-37.8002074,145.070766,r1r0vntnt,r1r0vnt,3.552791951,3.543565014
5954,0f52eba8-338a-413d-baaf-1c5083f53d13,12/24/2023 0:57,-37.86623881,145.0328231,r1r0vntnt,r1r0vnt,3.552791951,3.543565014
5955,0f52eba8-338a-413d-baaf-1c5083f53d13,12/9/2023 8:33,-37.78435712,145.1252206,r1r0vntnt,r1r0vnt,3.552791951,3.543565014
5956,0f52eba8-338a-413d-baaf-1c5083f53d13,12/5/2023 21:42,-37.86691605,145.0395625,r1r0vntnt,r1r0vnt,3.552791951,3.543565014
6074,0f95bf98-84a3-4b24-ab8d-ae537fb7bda8,12/4/2023 17:36,-34.86879,138.5488,r1r0f9f9f,r1r0fu0,8.622382889,7.806917525
6075,0f95bf98-84a3-4b24-ab8d-ae537fb7bda8,12/26/2023 15:32,-37.73831,145.06643,r1r0f9f9f,r1r0fu0,8.622382889,7.806917525
6076,0f95bf98-84a3-4b24-ab8d-ae537fb7bda8,12/30/2023 6:50,-37.86754,145.09007,r1r0f9f9f,r1r0fu0,8.622382889,7.806917525
6077,0f95bf98-84a3-4b24-ab8d-ae537fb7bda8,12/22/2023 16:15,-34.8688,138.54874,r1r0f9f9f,r1r0fu0,8.622382889,7.806917525
6094,0f9fb1bd-5fea-454e-93c0-6de93b3fc8ca,12/4/2023 22:31,-37.43271,143.4404,r1r0e0y0y,r1pppj0,8.143256729,33.33171149
6095,0f9fb1bd-5fea-454e-93c0-6de93b3fc8ca,12/31/2023 23:01,-36.77009,141.23689,r1r0e0y0y,r1pppj0,8.143256729,33.33171149
6096,0f9fb1bd-5fea-454e-93c0-6de93b3fc8ca,12/25/2023 13:19,-37.87482,144.98724,r1r0e0y0y,r1pppj0,8.143256729,33.33171149
6097,0f9fb1bd-5fea-454e-93c0-6de93b3fc8ca,12/5/2023 22:11,-37.64976,142.34423,r1r0e0y0y,r1pppj0,8.143256729,33.33171149
6266,0fed975d-f2f4-4d15-a131-f43bdf35d3a2,12/26/2023 16:44,-41.19178,146.35495,r1r0sw3w3,r28j7yj,2.028123719,395.7830703
6267,0fed975d-f2f4-4d15-a131-f43bdf35d3a2,12/30/2023 5:41,-37.8579,145.0234,r1r0sw3w3,r28j7yj,2.028123719,395.7830703
6268,0fed975d-f2f4-4d15-a131-f43bdf35d3a2,12/29/2023 2:25,-41.1942,146.36058,r1r0sw3w3,r28j7yj,2.028123719,395.7830703
6269,0fed975d-f2f4-4d15-a131-f43bdf35d3a2,12/21/2023 16:15,-37.85794,145.02322,r1r0sw3w3,r28j7yj,2.028123719,395.7830703
6538,109db1e3-db99-446d-99de-e795963c4c28,12/19/2023 12:26,-37.77647,145.30844,r1r0zpdpd,r1r0zpd,9.531519236,8.948332067
6539,109db1e3-db99-446d-99de-e795963c4c28,12/12/2023 15:16,-37.7764,145.30845,r1r0zpdpd,r1r0zpd,9.531519236,8.948332067
6540,109db1e3-db99-446d-99de-e795963c4c28,12/17/2023 12:42,-37.80557,145.32737,r1r0zpdpd,r1r0zpd,9.531519236,8.948332067
6541,109db1e3-db99-446d-99de-e795963c4c28,12/23/2023 5:14,-37.77672,145.30843,r1r0zpdpd,r1r0zpd,9.531519236,8.948332067
6626,10cb001c-79e4-413a-b4ce-e80ab3091c21,12/19/2023 9:45,-37.80988,144.97247,r1r0m6x6x,r1r1466,9.360123051,10.77624888
6627,10cb001c-79e4-413a-b4ce-e80ab3091c21,12/26/2023 16:54,-37.79981,144.99243,r1r0m6x6x,r1r1466,9.360123051,10.77624888
6628,10cb001c-79e4-413a-b4ce-e80ab3091c21,12/25/2023 19:00,-37.80987,144.97247,r1r0m6x6x,r1r1466,9.360123051,10.77624888
6629,10cb001c-79e4-413a-b4ce-e80ab3091c21,12/13/2023 17:28,-37.80986,144.97246,r1r0m6x6x,r1r1466,9.360123051,10.77624888
6682,10f15027-890c-471c-9011-d8d56348b85d,12/20/2023 9:06,-37.8138,144.98823,r1r0t3434,r1r0t34,5.429602759,4.97961978
6683,10f15027-890c-471c-9011-d8d56348b85d,12/11/2023 19:06,-37.80578,144.9919,r1r0t3434,r1r0t34,5.429602759,4.97961978
6684,10f15027-890c-471c-9011-d8d56348b85d,12/27/2023 15:52,-33.86248,151.21362,r1r0t3434,r1r0t34,5.429602759,4.97961978
6685,10f15027-890c-471c-9011-d8d56348b85d,12/21/2023 4:22,-37.80706,144.9903,r1r0t3434,r1r0t34,5.429602759,4.97961978
6690,10f5b31e-9829-42df-9c22-bf0378c90655,12/30/2023 15:19,-37.74338,144.73385,r1r15f9f9,r1r15f9,6.867948893,6.809421856
